neighbourhood_cleansed,latitude,longitude,property_type,room_type,price,number_of_reviews,review_scores_rating
Jamaica Plain,42.3206,-71.1144,Private room in rental unit,Private room,65,12,4.83
Downtown,42.3529,-71.05992,Entire rental unit,Entire home/apt,295,1,5
Dorchester,42.30536,-71.07221,Private room in rental unit,Private room,37,9,4.78
Allston,42.36546,-71.12005,Entire rental unit,Entire home/apt,99,9,5
South End,42.33686,-71.0692,Entire rental unit,Entire home/apt,210,30,4.92
Charlestown,42.38187,-71.07734,Entire rental unit,Entire home/apt,186,375,4.88
South Boston,42.32818,-71.05512,Entire rental unit,Entire home/apt,150,20,4.78
West Roxbury,42.25979,-71.15911,Entire rental unit,Entire home/apt,96,216,4.72
East Boston,42.3786,-71.03977,Entire rental unit,Entire home/apt,147,37,4.86
Roxbury,42.33722,-71.08359,Entire rental unit,Entire home/apt,59,176,4.83
Mission Hill,42.33074,-71.10697,Private room in rental unit,Private room,29,4,4.25
Charlestown,42.38362,-71.07863,Private room in rental unit,Private room,62,20,4.8
Roxbury,42.31801,-71.09005,Private room in rental unit,Private room,36,21,4.86
Fenway,42.34353,-71.08998,Private room in rental unit,Private room,52,2,4
Fenway,42.34712,-71.1039,Entire rental unit,Entire home/apt,100,12,5
Charlestown,42.38061,-71.06905,Entire townhouse,Entire home/apt,400,34,4.97
Brighton,42.34636,-71.15563,Private room in loft,Private room,36,5,4.8
North End,42.3665,-71.05428,Entire rental unit,Entire home/apt,106,39,4.08
Back Bay,42.34777,-71.08493,Entire condominium (condo),Entire home/apt,96,2,5
Beacon Hill,42.36104,-71.07129,Entire rental unit,Entire home/apt,106,16,4.27
Dorchester,42.30536,-71.07221,Private room in rental unit,Private room,36,7,5
Roxbury,42.31676,-71.08,Private room in rental unit,Private room,36,0,
Dorchester,42.30536,-71.07221,Private room in rental unit,Private room,36,3,5
Beacon Hill,42.35964,-71.06967,Entire rental unit,Entire home/apt,129,7,5
Dorchester,42.30536,-71.07221,Private room in rental unit,Private room,36,3,5
